0,1,2,3,4,5,6,7
6595,210,0,282,576,0,0,0
134,10401,0,218,134,0,0,0
369,77,0,510,802,0,0,0
204,281,0,3958,355,0,0,0
353,227,0,561,7327,0,0,0
1438,522,0,537,481,0,0,0
761,839,0,716,404,0,0,0
476,501,0,309,296,0,0,0
