conf_a,conf_o,margin_a,margin_o,f1
0.5,0.2,0.1,0.05,0.8612656398844977
0.5,0.2,0.1,0.1,0.8607958735239948
0.5,0.2,0.15,0.05,0.8600787498943433
0.5,0.2,0.15,0.1,0.8596150330353824
0.5,0.2,0.2,0.05,0.8593941575014588
0.5,0.2,0.2,0.1,0.8589383435710436
0.5,0.3,0.1,0.05,0.8609891144276958
0.5,0.3,0.1,0.1,0.860788369519609
0.5,0.3,0.15,0.05,0.8598075467116342
0.5,0.3,0.15,0.1,0.8596088183055277
0.5,0.3,0.2,0.05,0.8591298538896438
0.5,0.3,0.2,0.1,0.8589337700940678
0.5,0.4,0.1,0.05,0.8600933917664062
0.5,0.4,0.1,0.1,0.8599617962341425
0.5,0.4,0.15,0.05,0.858918791965484
0.5,0.4,0.15,0.1,0.8587878589484282
0.5,0.4,0.2,0.05,0.8582503074428671
0.5,0.4,0.2,0.1,0.8581202247524706
0.6,0.2,0.1,0.05,0.8481212140685072
0.6,0.2,0.1,0.1,0.8477231845244331
0.6,0.2,0.15,0.05,0.8481212140685072
0.6,0.2,0.15,0.1,0.8477231845244331
0.6,0.2,0.2,0.05,0.8481212140685072
0.6,0.2,0.2,0.1,0.8477231845244331
0.6,0.3,0.1,0.05,0.847907351245328
0.6,0.3,0.1,0.1,0.8477306858511097
0.6,0.3,0.15,0.05,0.847907351245328
0.6,0.3,0.15,0.1,0.8477306858511097
0.6,0.3,0.2,0.05,0.847907351245328
0.6,0.3,0.2,0.1,0.8477306858511097
0.6,0.4,0.1,0.05,0.8470956388591864
0.6,0.4,0.1,0.1,0.8469718599226762
0.6,0.4,0.15,0.05,0.8470956388591864
0.6,0.4,0.15,0.1,0.8469718599226762
0.6,0.4,0.2,0.05,0.8470956388591864
0.6,0.4,0.2,0.1,0.8469718599226762
0.7,0.2,0.1,0.05,0.8195541855889377
0.7,0.2,0.1,0.1,0.819225260887759
0.7,0.2,0.15,0.05,0.8195541855889377
0.7,0.2,0.15,0.1,0.819225260887759
0.7,0.2,0.2,0.05,0.8195541855889377
0.7,0.2,0.2,0.1,0.819225260887759
0.7,0.3,0.1,0.05,0.8194008780936262
0.7,0.3,0.1,0.1,0.8192476228623741
0.7,0.3,0.15,0.05,0.8194008780936262
0.7,0.3,0.15,0.1,0.8192476228623741
0.7,0.3,0.2,0.05,0.8194008780936262
0.7,0.3,0.2,0.1,0.8192476228623741
0.7,0.4,0.1,0.05,0.818671255048472
0.7,0.4,0.1,0.1,0.8185553407975672
0.7,0.4,0.15,0.05,0.818671255048472
0.7,0.4,0.15,0.1,0.8185553407975672
0.7,0.4,0.2,0.05,0.818671255048472
0.7,0.4,0.2,0.1,0.8185553407975672
