0,1,2,3,4,5,6,7
6331,53,31,246,401,118,184,299
59,9998,11,265,58,49,92,355
15,4,1659,29,10,4,6,31
54,46,40,4173,115,56,57,257
141,37,34,383,7366,105,100,302
41,20,1,75,50,2685,29,77
27,24,7,83,38,23,2428,90
158,80,35,144,131,42,73,919
